id,user_id,rdv,asofright,ovr55,clusteros,phased,stalled,name,status,descr,prj_url,address,state,zip_code,year_compl,prjarea,singfamhu,multifam,hu,gqpop,rptdemp,commsf,hotelrms,total_cost,ret_sqft,ofcmd_sqft,indmf_sqft,whs_sqft,rnd_sqft,ei_sqft,other_sqft,hotel_sqft,other_rate,affordable,latitude,longitude,parcel_id,mixed_use,point,programs,forty_b,residential,commercial,municipal,devlper,yrcomp_est,percomp_24,percomp_28,percomp_35,percomp_45,units_1bd,units_2bd,units_3bd,unknownhu,affrd_unit,aff_u50,aff_50_80,aff_80_120,aff_120p,aff_unknown,headqtrs,park_type,publicsqft,unk_sqft,loc_id,parcel_fy,rpa_name,county,nhood,n_transit,flag,deleted_at,traffic_count_data,proj_id_present,traffic_count_data_present,taz,apn,trunc,gluc,placetype,proj_id,stat_comts,mix_descr,notes,created_at,updated_at,sb_type
22,1,f,f,f,f,f,f,Avocado Ranch,completed,"""devtype"": ""Residential"", ""resdev2"": ""SF"", ""tea_zone"": ""Yellow"", ""edited_by"": ""rm""", ,,CA,,,0,46,,46,,,,0,,0,,,,,,,0,,,35.1024187996996,-120.602149682648,,f,POINT(-120.602149682648 35.1024187996996),,,t,,,,f,100,0,0,0,,,,,,,,,,,f,,,,,,,,Oceano,{},f,,,f,f,,,t,ResDev,Residential development,,Complete, ,; ,2022-12-11 03:05:08.892851,2022-12-11 03:05:08.892851,
23,1,f,f,f,f,f,f,Stadium Expansion and Fieldhouse,planning,"", ,   CERRO VISTA  ,CA,,,0,0,,0,,,,0,,0,,,,,,,0,,,35.2983051621485,-120.664969338516,,f,POINT(-120.664969338516 35.2983051621485),,,,,SAN LUIS OBISPO,,f,0,0,0,0,,,,,,,,,,,f,,,,238289,,,,Cal Poly,{},f,,,f,f,,073341020,t,null,University facility,,Pending environmental review, ,; ,2022-12-11 03:05:08.892851,2022-12-11 03:05:08.892851,
24,1,f,f,f,f,f,f,Mini-storage,completed,"""description"": ""mini-storage"", ""devtype"": ""Non-Residential"", ""edited_by"": ""PR Planning Staff""", ,2371   THEATRE DR ,CA,,,76000,0,,0,,,,0,,76000,,,,,,,0,,,35.5826586334964,-120.699328225591,,f,POINT(-120.699328225591 35.5826586334964),,,,t,PASO ROBLES,,f,100,0,0,0,,,,,,,,,,,f,,,,254723,,,,Paso Robles,{},f,,,f,f,,009851018,t,LI,Commercial development,,complete,"", ;  ,2022-12-11 03:05:08.892851,2022-12-11 03:05:08.892851,
25,1,f,f,f,f,f,f,New Specialty Student Housing,planning,Unknown number of beds/units, ,   CERRO VISTA  ,CA,,,0,0,,0,,,,0,,0,,,,,,,0,,,35.3041533066333,-120.666344926509,,f,POINT(-120.666344926509 35.3041533066333),,,,,SAN LUIS OBISPO,,f,0,0,0,0,,,,,,,,,,,f,,,,238289,,,,Cal Poly,{},f,,,f,f,,073341020,t,null,Student housing,,Under environmental review,"",; ,2022-12-11 03:05:08.892851,2022-12-11 03:05:08.892851,
26,1,f,f,f,f,f,f,New Residential Neighborhood N5,planning,Unknown number of beds/units, ,631  N SANTA ROSA ST ,CA,,,0,0,,0,,,,0,,0,,,,,,,0,,,35.3100389484237,-120.681047249379,,f,POINT(-120.681047249379 35.3100389484237),,,,,SAN LUIS OBISPO,,f,0,0,0,0,,,,,,,,,,,f,,,,364507,,,,Cal Poly,{},f,,,f,f,,073341026,t,null,Student housing,,Under environmental review,"",; ,2022-12-11 03:05:08.892851,2022-12-11 03:05:08.892851,
27,1,f,f,f,f,f,f,Carlton Hotel,completed,"""description"": "" hotel (double check # of rooms)"", ""devtype"": ""Tourist"", ""edited_by"": ""PD""", ,5995   TRAFFIC WAY ,CA,,,60356,0,,0,,,,32,,60356,,,,,,,0,,,35.4894794286937,-120.669854016548,,f,POINT(-120.669854016548 35.4894794286937),,,,t,ATASCADERO,,f,100,0,0,0,,,,,,,,,,,f,,,,282581,,,,Atascadero,{},f,,,f,f,,029342023,t,TOURIST,Commercial development,,complete,"",check # of room; ,2022-12-11 03:05:08.892851,2022-12-11 03:05:08.892851,
28,1,f,f,f,f,f,f,New Recreation 1,planning,"", ,631  N SANTA ROSA ST ,CA,,,0,0,,0,,,,0,,0,,,,,,,0,,,35.3071782227759,-120.66950588956,,f,POINT(-120.66950588956 35.3071782227759),,,,,SAN LUIS OBISPO,,f,0,0,0,0,,,,,,,,,,,f,,,,364507,,,,Cal Poly,{},f,,,f,f,,073341026,t,null,University facility,,Pending environmental review, ,; ,2022-12-11 03:05:08.892851,2022-12-11 03:05:08.892851,
29,1,f,f,f,f,f,f,New Recreation 4,planning,"", ,631  N SANTA ROSA ST ,CA,,,0,0,,0,,,,0,,0,,,,,,,0,,,35.3035023787541,-120.667927474587,,f,POINT(-120.667927474587 35.3035023787541),,,,,SAN LUIS OBISPO,,f,0,0,0,0,,,,,,,,,,,f,,,,364507,,,,Cal Poly,{},f,,,f,f,,073341026,t,null,University facility,,Pending environmental review, ,; ,2022-12-11 03:05:08.892851,2022-12-11 03:05:08.892851,
30,1,f,f,f,f,f,f,New Recreation 5,planning,"", ,   CERRO VISTA  ,CA,,,0,0,,0,,,,0,,0,,,,,,,0,,,35.3048130169156,-120.659239826995,,f,POINT(-120.659239826995 35.3048130169156),,,,,SAN LUIS OBISPO,,f,0,0,0,0,,,,,,,,,,,f,,,,238289,,,,Cal Poly,{},f,,,f,f,,073341020,t,null,University facility,,Pending environmental review, ,; ,2022-12-11 03:05:08.892851,2022-12-11 03:05:08.892851,
31,1,f,f,f,f,f,f,New OH Turf Research,planning,"", ,631  N SANTA ROSA ST ,CA,,,0,0,,0,,,,0,,0,,,,,,,0,,,35.2998278560692,-120.667056551844,,f,POINT(-120.667056551844 35.2998278560692),,,,,SAN LUIS OBISPO,,f,0,0,0,0,,,,,,,,,,,f,,,,364507,,,,Cal Poly,{},f,,,f,f,,073341026,t,null,University facility,,Pending environmental review, ,; ,2022-12-11 03:05:08.892851,2022-12-11 03:05:08.892851,
32,1,f,f,f,f,f,f,Pine St.,projected,"""devtype"": ""Residential"", ""resdev2"": ""SF"", ""tea_zone"": ""Yellow""", ,     ,CA,,,0,2,,2,,,,0,,0,,,,,,,0,,,35.1178003258776,-120.599162171741,,f,POINT(-120.599162171741 35.1178003258776),,,t,,,,f,0,0,0,0,,,,,,,,,,,f,,,,287160,,,,Arroyo Grande,{},f,,,f,f,,077171020,t,ResDev,Residential development,,"Approved, constructed", ,; ,2022-12-11 03:05:08.892851,2022-12-11 03:05:08.892851,
33,1,f,f,f,f,f,f,Realty office building,completed,"""description"": ""realty office"", ""devtype"": ""Non-Residential"", ""edited_by"": ""wf""", ,1213   VINE ST ,CA,,,3400,0,,0,,,,0,,3400,,,,,,,0,,,35.6268100127956,-120.694317486183,,f,POINT(-120.694317486183 35.6268100127956),,,,t,PASO ROBLES,,f,100,0,0,0,,,,,,,,,,,f,,,,312931,,,,Paso Robles,{},f,,,f,f,,009034013,t,CS,Commercial development,,complete,"", ;  ,2022-12-11 03:05:08.892851,2022-12-11 03:05:08.892851,
34,1,f,f,f,f,f,f,Colony Square/Bridgewalk,projected,"""devtype"": ""Mixed-Use"", ""edited_by"": ""PD""", ,   EL CAMINO REAL  ,CA,,,18330,0,,0,,,,80,,120000,,,,,,,0,,,35.4877613891832,-120.665231835195,,f,POINT(-120.665231835195 35.4877613891832),,,,t,ATASCADERO,,f,100,0,0,0,,,,,,,,,,,f,,,,292676,,,,Atascadero,{},f,,,f,f,,029361038,t,MU,Mixed-use center,,"Hotel approved, built ","galaxy theater, vacant, wildfields... etc office, ",; ,2022-12-11 03:05:08.892851,2022-12-11 03:05:08.892851,
35,1,f,f,f,f,f,f,Higuera Brew,in_construction,"""devtype"": ""Non-Residential"", ""edited_by"": ""2""", ,10   HIGUERA ST ,CA,,,15500,0,,0,,,,0,,15500,,,,,,,0,,,35.2653473853851,-120.67119059664,,f,POINT(-120.67119059664 35.2653473853851),,,,t,SAN LUIS OBISPO,,f,100,0,0,0,,,,,,,,,,,f,,,,269935,,,,San Luis Obispo,{},f,,,f,f,,004511015,t,CR,Commercial development,,Under construction, , ;  ,2022-12-11 03:05:08.892851,2022-12-11 03:05:08.892851,
36,1,f,f,f,f,f,f,Corbett Canyon Rd./Tally Ho Rd.,projected,"""devtype"": ""Residential"", ""resdev2"": ""SF"", ""tea_zone"": ""Red"", ""edited_by"": ""Reviewed With City Staff""", ,   CORBETT CANYON  ,CA,,,0,11,,11,,,,0,,0,,,,,,,0,,,35.1325206881947,-120.570710665683,,f,POINT(-120.570710665683 35.1325206881947),,,t,,ARROYO GRANDE,,f,20,100,0,0,,,,,,,,,,,f,,,,255616,,,,Arroyo Grande,{},f,,,f,f,,007031038,t,ResDev,Residential development,,"Approved, not constructed", ,; ,2022-12-11 03:05:08.892851,2022-12-11 03:05:08.892851,
37,1,f,f,f,f,f,f,Coast Guard Addition,in_construction,"""description"": ""berthing rooms, laundry"", ""devtype"": ""Special""", ,1215   EMBARCADERO  ,CA,,,800,0,,0,,,,0,,0,,,,,,,0,,,35.3712913056924,-120.85805888177,,f,POINT(-120.85805888177 35.3712913056924),,,,,MORRO BAY,,f,100,0,0,0,,,,,,,,,,,f,,,,362792,,,,Morro Bay,{},f,,,f,f,,066461018,t,SPECIAL,Addition to existing structure,,under construction,"", ;  ,2022-12-11 03:05:08.892851,2022-12-11 03:05:08.892851,
38,1,f,f,f,f,f,f,The Habit,completed,"""description"": ""Commercial development"", ""devtype"": ""Non-Residential"", ""edited_by"": ""PD""", ,   EL CAMINO REAL  ,CA,,,8675,0,,0,,,,0,,8675,,,,,,,0,,,35.4832491242172,-120.661345139002,,f,POINT(-120.661345139002 35.4832491242172),,,,t,,,f,100,0,0,0,,,,,,,,,,,f,,,,276248,,,,Atascadero,{},f,,,f,f,,030222051,t,CR,Redevelopment,,complete,"",; ,2022-12-11 03:05:08.892851,2022-12-11 03:05:08.892851,
39,1,f,f,f,f,f,f,Fairfield Inn,planning,"""description"": ""hotel"", ""devtype"": ""Tourist"", ""edited_by"": ""PR Planning Staff""", ,2940   UNION RD ,CA,,,0,0,,0,,,,119,,0,,,,,,,0,,,35.6423152833742,-120.650414693436,,f,POINT(-120.650414693436 35.6423152833742),,,,,PASO ROBLES,,f,0,0,0,0,,,,,,,,,,,f,,,,252068,,,,Paso Robles,{},f,,,f,f,,025362004,t,TOURIST,Visitor-serving,,Plan check prior to 2020,"", ;  ,2022-12-11 03:05:08.892851,2022-12-11 03:05:08.892851,
40,1,f,f,f,f,f,f,Combine Industrial Lots,planning,"""description"": ""26 industrial buildings (all < 5,000 sf)"", ""devtype"": ""Non-Residential"", ""edited_by"": ""PR Planning Staff""", ,     ,CA,,,112500,0,,0,,,,0,,112500,,,,,,,0,,,35.6456803787492,-120.651707723119,,f,POINT(-120.651707723119 35.6456803787492),,,,t,,,f,100,0,0,0,,,,,,,,,,,f,,,,306143,,,,Paso Robles,{},f,,,f,f,,025437042,t,LI,Commercial development,,majority complete (5 vacant parcels),"", ;  ,2022-12-11 03:05:08.892851,2022-12-11 03:05:08.892851,
